nm_item,nm_product
UVA PASSA ESCURA 150G CRFO,INATIVO
UVA PASSA ESCURA CARREFOUR 200g,INATIVO
DAMASCO SECO ELMAS 200G,INATIVO
AMEIXA SECA SCAROCO kg,INATIVO
UVA PASSA ESCURA S/SEM M/CHOU 140G,INATIVO
AMEIXA SECA S/CAR M.CHOU 150G,INATIVO
AMEIXA SECA UNIAGRO S/CAROCO    PE  40GR,INATIVO
UVA PASSAS FELIZ ESCURA S/S     PE 150GR,INATIVO
AMEIXA SECA S/C EXCEL - 150G,INATIVO
UVA PASSA 100G PTA,INATIVO
AMEIXA SECA ODERICH 150G,INATIVO
AMEIXA SECA S/C 350G BD,INATIVO
UVA PASSA 300G BD PTA,INATIVO
AMEIXA SECA PRETA S/C UNIAGRO  PE  500GR,INATIVO
AMEIXA SECA S CAROCO FELIZ 150G,INATIVO
AMEIXA SECA SEM CAROCO CRFO 150G,INATIVO
LINGUICA CALABRESA APIMENTADA SWIFT 500G,INATIVO
TIRAS DE FILE MIGNON CONG SWIFT 500G,INATIVO
CARNE MOIDA LIGHT CONG SWIFT 500G,INATIVO
COXINHA DA ASA TEMPERADA CONG SWIFT 1KG,INATIVO
PICANHA NOBRE OURO CONG SWIFT KG,INATIVO
COXINHA DA ASA CONG SWIFT 1KG,INATIVO
MEDALHAO DE PICANHA CONG SWIFT KG,INATIVO
BOMBOM DE ALCATRA CONG SWIFT KG,INATIVO
BIFE ANCHO CONG SWIFT KG,INATIVO
FILE DE PEITO CONG SWIFT 1KG,INATIVO
CARNE MOIDA PATINHO CONG SWIFT 500G,INATIVO
BIFE DE FILE MIGNON CONG SWIFT 900G,INATIVO
TIRAS DE FILE PEITO CONG SWIFT 1KG,INATIVO
FILEZINHO SASSAMI CONG SWIFT 1KG,INATIVO
CUBOS DE FILE PEITO CONG SWIFT 1KG,INATIVO
ISCAS DE FIGADO CONG SWIFT 500G,INATIVO
FILE COSTELA NOIX CONG SWIFT KG,INATIVO
TIRAS DE ALCATRA CONG SWIFT 500G,INATIVO
SOBRECOXA TEMPERADA CONG SWIFT 1KG,INATIVO
BIFE DE FIGADO CONG SWIFT KG,INATIVO
CHULETA CONG SWIFT KG,INATIVO
CARNE MOIDA FRANGO CONG SWIFT 500G,INATIVO
SOBRECOXA DE FRANGO CONG SWIFT 1KG,INATIVO
FILE DE SOBRECOXA CONG SWIFT 1KG,INATIVO
CARNE MOIDA PALETA CONG SWIFT 500G,INATIVO
CUBOS DE FILE MIGNON CONG SWIFT 500G,INATIVO
MAMINHA CONG SWIFT KG,INATIVO
PICANHA PRATA CONG SWIFT KG,INATIVO
ALCATRA CONG SWIFT KG,INATIVO
BIFE DE CHORIZO CONG SWIFT KG,INATIVO
BIFE PATINHO P MILANESA CONG SWIFT 900G,INATIVO
RABO BOVINO CONG SWIFT KG,INATIVO
CARNE MOIDA BOLONHESA CONG SWIFT 500G,INATIVO
ASSADO DE TIRAS BOV CONG SWIFT KG,INATIVO
CONTRA FILE CONG SWIFT KG,INATIVO
BIFE DO VAZIO CONG SWIFT 900G,INATIVO
LAGARTO SEM PELE CONG SWIFT KG,INATIVO
COSTELA BAFO CONG SWIFT KG,INATIVO
CENTRO DO FILE MIGNON CONG SWIFT KG,INATIVO
CUPIM BOVINO CONG SWIFT KG,INATIVO
COSTELA TRASEIRO FATIADA CONG SWIFT KG,INATIVO
CAMARAO DESC PRE COZ 91 110 CONG 400G,INATIVO
CAMARAO S CAB DESC COZ 71 90 CONG 400G,INATIVO
FILE DE PESCADA SWIFT CONG 500G,INATIVO
FILE TILAPIA SWIFT CONG 250G,INATIVO
FILE SALMAO PREMIUM SWIFT CONG 900G,INATIVO
FILE TILAPIA SAINT PETERS SWIFT 450G,INATIVO
MIX PETISCO HAND FRUIT 200G,INATIVO
AMEIXA SECA UNIAGRO S/CAROCO    PT 150GR,INATIVO
CUPIM JA PRO FORNO CONG SWIFT KG,INATIVO
GALETO CONG SWIFT KG,INATIVO
COSTELA BOV JA PRO FORNO CONG SWIFT KG,INATIVO
MAMINHA JA PRO FORNO CONG SWIFT KG,INATIVO
FILE PEITO CAMPO CONG SWIFT 1KG,INATIVO
FILE PEITO BIFES IQF SWIFT 1KG,INATIVO
COXA FRANGO SEM PELE IQF SWIFT 1KG,INATIVO
COXINHA ASA CAMPO CONG SWIFT 1KG,INATIVO
FRANGO CAIPIRA CONG SWIFT KG,INATIVO
CORACAO FRANGO BDJ CONG SWIFT 1KG,INATIVO
SOBRECOXA SEM PELE IQF SWIFT 1KG,INATIVO
COXA FRANGO IQF SWIFT 1KG,INATIVO
BABY PICANHA CONG SWIFT KG,INATIVO
AMEIXA SECA PREZUNIC S/CAROCO 150g,INATIVO
UVA PASSAS PREZUNIC ESC 140g,INATIVO
FIL  SAINT PETERS SWIFT450G,INATIVO
ESPETINHO BOVINO C BOCAN SWIFT 900G,INATIVO
CUBOS DE MUSCULO SWIFT 500G,INATIVO
ESPETINHO DE KAFTA SWIFT 900G,INATIVO
ESPETINHO DE FRANGO PEITO SWIFT 900G,INATIVO
ESPETINHO DE CORACAO SWIFT 900G,INATIVO
CUBOS DE ALCATRA SWIFT 500G,INATIVO
BIFE DE CONTRA FILE SWIFT 900G,INATIVO
ESPETINHO BOVINO SWIFT 900G,INATIVO
GALINHA INTEIRA SWIFT KG,INATIVO
FILE COXA SOBRECOXA S PELE SWIFT 1 KG,INATIVO
COXA FRANGO TEMPERADA SWIFT 1KG,INATIVO
BIFE DE ALCATRA SWIFT 900G,INATIVO
MOELA SWIFT BDJ 1KG,INATIVO
FRANGO A PASSARINHO SWIFT 1KG,INATIVO
MEDALHAO DE FILE MIGNON SWIFT 900G,INATIVO
CARNE MOIDA SWIFT 900G,INATIVO
TIRAS DE PATINHO SWIFT 500G,INATIVO
FILEZINHO SASSAMI TEMPERADO SWIFT 1 KG,INATIVO
CARNE MOIDA DE PATINHO SWIFT 900G,INATIVO
CUBOS DE COSTELA SWIFT 500G,INATIVO
FRANGO INTEIRA SWIFT KG,INATIVO
CONTRA FILE SWIFT BRONZE KG,INATIVO
TULIPA TEMPERADA SWIFT 1KG,INATIVO
FILE PEITO TEMPERADO SWIFT 1KG,INATIVO
CONTRA FILE SWIFT OURO KG,INATIVO
FILE DE MERLUZA SWIFT 800G,INATIVO
KIT PAELLA SWIFT 400G,INATIVO
PEDACOS DE FILE SALMAO SWIFT 500G,INATIVO
BACALHAU DESFIADO DESS SWIFT 500G,INATIVO
SARDINHA ESPALMADA SWIFT 500G,INATIVO
SALMAO PORCIONADO SWIFT 125G,INATIVO
FILEZINHO SASSAMI DO CAMPO SWIFT 1KG,INATIVO
UVA PAS ESC CONF 250 250G,INATIVO
AMEIXA SECA S CAROCO,INATIVO
DAMASCO TURCO EXCEL 150G,INATIVO
AMEIXA SECA LA VIOLETERA S/C POTE 150g,INATIVO
UVA PASSA PRETA SN 350G PT,INATIVO
UVA PASSA APRECO 350G-PTA,INATIVO
UVA PASSAS BRETAS ESC S/S 150G,INATIVO
DAMASCO SECO 250G  250G,INATIVO
UVA PASSA KOCH ESCURA PT 175G,INATIVO
FRANGO TEMP JA PRO FORNO SWIFT KG,INATIVO
SALMAO C LIMAO E ERVAS SWIFT 200G,INATIVO
FILE PEITO TEMP JA PRO FORNO SWIFT 800G,INATIVO
TULIPA SWIFT 1KG,INATIVO
SOBRECOXA JA PRO FORNO SWIFT 800G,INATIVO
POSTA DE BACALHAU DESS SWIFT 800G,INATIVO
FILEZINHO SASSAMI EMPANADO SWIFT 700G,INATIVO
AMEIXA SECA S/C 250G SUPER FRUIT,INATIVO
QA DAMASCO SECO 150G,INATIVO
UVA PASSAS GBARBOSA PRETA 150g,INATIVO
AMEIXA SECA RAIZ BEM 500G S/CAROCO,INATIVO
AMEIXA SECA RAIZ BEM 150G C/CAROCO,INATIVO
FILE FGO SWIFT 1KG BIFE,INATIVO
UVA PASSA ESCURA RAIZ BEM 150G S/SE,INATIVO
FILE FGO SWIFT 1KG CUBOS,INATIVO
AMEIXA SECA RAIZ BEM 150G S/CAROCO,INATIVO
ISCAS FGO SWIFT 300G,INATIVO
DAMASCO RAIZ BEM 90G POUCH,INATIVO
DAMASCO TURCO SN 350G PT,INATIVO
AMEIXA SECA SEM CAROCO 500G,INATIVO
SOBRECOXA TEMP FORNO SWIFT 800G,INATIVO
FILE DE TILAPIA SWIFT 800G,INATIVO
